631.558398	631.982953	w - 50%
704.206264	705.055947	w - 50%
26.022107	26.954688	w - 49%
224.940408	225.390295	w - 51%
1116.483082	1116.969767	w - 51%
1356.346319	1358.293059	w - 51%
1470.299650	1471.497379	w - 51%
1772.667764	1772.889420	w - 49%
1804.775094	1805.103474	b - 49%
163.413333	163.509116	w - 48%
253.802812	254.241088	w - 48%
460.642522	460.793846	w - 48%
673.675637	674.193387	w - 52%
728.711603	729.475086	w - 48%
733.395119	734.314583	w - 48%
946.253773	946.560972	w - 48%
1234.785514	1235.693302	w - 48%
1465.311992	1465.539802	w - 52%
1632.707482	1633.004325	w - 48%
517.574001	517.649938	w - 47%
656.020361	656.510498	w - 47%
1040.957158	1041.657847	w - 47%
1159.863632	1161.820727	w - 47%
