216.865108	217.255599	w - 50%
771.863813	772.829250	w - 50%
1222.813041	1223.152344	b - 50%
24.188287	25.039499	w - 51%
54.174800	55.185524	w - 49%
322.995888	323.563918	b - 51%
563.747298	564.862104	w - 49%
573.186531	574.377284	w - 51%
894.022821	895.141130	w - 51%
995.957897	996.259449	w - 49%
1204.911168	1205.076935	w - 49%
1470.080652	1471.676478	w - 49%
36.786994	36.921802	w - 48%
158.088038	158.317143	w - 48%
172.581904	172.792921	w - 52%
250.577505	251.587823	w - 48%
302.367266	302.853983	w - 48%
349.113415	350.022075	w - 48%
350.443660	350.558265	w - 52%
595.030392	596.547985	w - 48%
639.070758	639.986235	b - 48%
812.388881	812.721106	b - 48%
815.141601	816.850185	b - 52%
970.823392	970.985390	b - 48%
1227.345348	1227.430258	b - 48%
1227.534575	1227.643745	b - 48%
1345.017583	1346.338689	w - 48%
