642.001328	642.190571	b - 32%
896.011641	896.177487	b - 32%
992.204969	992.620553	b - 32%
1527.291973	1527.506509	b - 32%
642.413878	642.587982	b - 31%
1485.299109	1485.703435	b - 26%
971.072742	971.266505	b - 25%
646.401892	646.549502	b - 19%
1484.853665	1485.234005	b - 18%
970.823392	970.985390	b - 16%
1524.602176	1524.830800	b - 16%
646.163446	646.318625	b - 15%
978.086521	978.313636	b - 15%
1263.419767	1263.582308	b - 15%
1524.093376	1524.413898	b - 15%
639.070758	639.986235	b - 14%
1203.212736	1203.837759	b - 13%
990.459303	990.698306	b - 10%
1184.440306	1184.654988	b - 9%
1338.322210	1338.645356	b - 9%
793.809202	794.122137	b - 8%
794.261959	794.561577	b - 8%
1184.888693	1185.095222	b - 8%
1485.727420	1485.991260	b - 8%
1523.714578	1524.023893	b - 8%
1264.191230	1264.428977	b - 7%
1490.999355	1491.231300	b - 7%
1263.769109	1263.997151	b - 6%
382.576890	383.054541	b - 5%
839.186910	839.368124	b - 4%
